Name,Constituency,State,Party,debate,bill,questions,attendance,
Maneka Gandhi,Pilibhit,Uttar Pradesh,Bharatiya Janata Party,20,0,279,0.72,
Manorama Madhwaraj^,Udupi,Karnataka,Bharatiya Janata Party,18,0,275,0.68,
Mansukhbhai D. Vasava,Broach,Gujarat,Bharatiya Janata Party,17,0,312,0.48,
Manvendra Singh,Barmer,Rajasthan,Bharatiya Janata Party,15,0,0,0.75,
Nand Kumar Sai,Surguja,Chhattisgarh,Bharatiya Janata Party,10,0,165,0.48,
Nand Kumar Singh Chauhan,Khandwa,Madhya Pradesh,Bharatiya Janata Party,0,0,10,0.33,
Narayan Chandra Borkataky,Mangaldoi,Assam,Bharatiya Janata Party,10,0,182,0.75,
Navjot Singh Sidhu,Amritsar,Punjab,Bharatiya Janata Party,4,0,224,0.45,
Neeta Pateriya^,Seoni,Madhya Pradesh,Bharatiya Janata Party,30,0,138,0.81,
Nihal Chand Chauhan,Ganganagar,Rajasthan,Bharatiya Janata Party,23,0,50,0.68,
Nikhil Kumar Choudhary,Katihar,Bihar,Bharatiya Janata Party,14,0,154,0.77,
P.C. Gaddigoudar,Bagalkot,Karnataka,Bharatiya Janata Party,7,0,64,0.53,
Pankaj Chaudhary,Maharajganj,Uttar Pradesh,Bharatiya Janata Party,14,0,303,0.63,
Parsuram Majhi,Nowrangpur,Orissa,Bharatiya Janata Party,7,0,277,0.66,
Pralhad Venkatesh Joshi,Dharwad North,Karnataka,Bharatiya Janata Party,42,0,306,0.56,
Punnulal Mohale^,Bilaspur,Chhattisgarh,Bharatiya Janata Party,83,2,224,0.51,
Pushpdan Shambhudan Gadhavi,Kutch,Gujarat,Bharatiya Janata Party,83,0,384,0.73,
Pusp Jain,Pali,Rajasthan,Bharatiya Janata Party,2,0,35,0.67,
Raghuvir Singh Kaushal,Kota,Rajasthan,Bharatiya Janata Party,10,0,677,0.79,
Rajen Gohain,Nowgong,Assam,Bharatiya Janata Party,3,0,102,0.47,
Rajendrasinh Ghanshyamsinh Rana (Raju Rana),Bhavnagar,Gujarat,Bharatiya Janata Party,1,0,5,0.62,
Rakesh Singh,Jabalpur,Madhya Pradesh,Bharatiya Janata Party,23,0,303,0.71,
Ram Lakhan Singh,Bhind,Madhya Pradesh,Bharatiya Janata Party,12,0,46,0.82,
Ram Singh Kaswan,Churu,Rajasthan,Bharatiya Janata Party,26,0,50,0.84,
Ramesh Bais,Raipur,Chhattisgarh,Bharatiya Janata Party,0,0,3,0.61,
Ramesh Chandappa Jigajinagi,Chikkodi,Karnataka,Bharatiya Janata Party,1,0,1,0.53,
Ramkrishna Kusmaria^,Khajuraho,Madhya Pradesh,Bharatiya Janata Party,35,0,43,0.71,
Rampal Singh,Vidisha ,Madhya Pradesh,Bharatiya Janata Party,0,0,13,0.30,
Ramswaroop Koli,Bayana,Rajasthan,Bharatiya Janata Party,17,0,16,0.87,
Raosaheb Patil Danve,Jalna,Maharashtra,Bharatiya Janata Party,5,0,91,0.45,
Rasa Singh Rawat,Ajmer,Rajasthan,Bharatiya Janata Party,194,1,161,0.85,
Ratilal Kalidas Varma,Dhandhuka,Gujarat,Bharatiya Janata Party,50,0,229,0.72,
Rupatai Diliprao Nilangekar Patil,Latur,Maharashtra,Bharatiya Janata Party,14,0,164,0.66,
S. Mallikarjunaiah,Tumkur,Karnataka,Bharatiya Janata Party,34,0,52,0.81,
Sangeeta Kumari Singh Deo,Bolangir,Orissa,Bharatiya Janata Party,13,0,467,0.77,
Sanjay Shamrao Dhotre,Akola,Maharashtra,Bharatiya Janata Party,7,0,296,0.75,
Santosh Kumar Gangwar,Bareilly,Uttar Pradesh,Bharatiya Janata Party,136,0,558,0.92,
Sartaj Singh Chatwal^,Hoshangabad,Madhya Pradesh,Bharatiya Janata Party,1,0,0,0.57,
Satyanarayan Jatiya,Ujjain,Madhya Pradesh,Bharatiya Janata Party,53,0,161,0.80,
Shishupal Natthu Patle,Bhandara,Maharashtra,Bharatiya Janata Party,30,0,421,0.75,
Shripad Yasso Naik,Panaji,Goa,Bharatiya Janata Party,19,0,96,0.67,
Sohan Potai,Kanker,Chhattisgarh,Bharatiya Janata Party,0,0,0,0.61,
Somabhai Gandalal Koli Patel,Surendranagar,Gujarat,Bharatiya Janata Party,0,0,0,0.61,
Srichand Kripalani,Chittorgarh,Rajasthan,Bharatiya Janata Party,26,0,175,0.64,
Subhash Maharia,Sikar,Rajasthan,Bharatiya Janata Party,12,0,188,0.64,
Subhash Sureshchandra Deshmukh,Solapur,Maharashtra,Bharatiya Janata Party,12,0,369,0.64,
Sukdeo Paswan,Araria,Bihar,Bharatiya Janata Party,25,0,93,0.72,
Sumitra Mahajan,Indore,Madhya Pradesh,Bharatiya Janata Party,61,0,206,0.82,
Suresh Chanabasappa Angadi,Belgaum,Karnataka,Bharatiya Janata Party,12,0,155,0.47,
Suresh Ganpatrao Wagmare,Wardha,Maharashtra,Bharatiya Janata Party,16,0,32,0.67,
Susheela Laxman Bangaru,Jalore,Rajasthan,Bharatiya Janata Party,5,0,52,0.91,
Syed Shahnawaz Hussain,Bhagalpur ,Bihar,Bharatiya Janata Party,27,1,58,0.84,
Tapir Gao,Arunachal East,Arunachal Pradesh,Bharatiya Janata Party,56,2,105,0.86,
Tarachand Sahu,Durg,Chhattisgarh,Bharatiya Janata Party,0,0,5,0.32,
Thaawar Chand Gehlot,Shajapur,Madhya Pradesh,Bharatiya Janata Party,34,0,269,0.87,
TPS Rawat,Garhwal,Uttarakhand,Bharatiya Janata Party,4,0,1,0.88,
Uday Singh,Purnea,Bihar,Bharatiya Janata Party,13,0,536,0.70,
Vallabhbhai Kathiria,Rajkot,Gujarat,Bharatiya Janata Party,25,0,132,0.69,
Vijay Kumar Malhotra^,South Delhi,Delhi,Bharatiya Janata Party,170,0,274,0.87,
Vijayendra Pal Singh,Bhilwara,Rajasthan,Bharatiya Janata Party,39,0,2,0.71,
Vinod Khanna,Gurdaspur,Punjab,Bharatiya Janata Party,5,0,4,0.46,
Virendra Kumar,Sagar,Madhya Pradesh,Bharatiya Janata Party,96,0,112,0.93,
Vishnu Dev Sai,Raigarh,Chhattisgarh,Bharatiya Janata Party,2,0,18,0.38,
Vishvendra Singh^,Bharatpur,Rajasthan,Bharatiya Janata Party,0,0,4,0.14,
Yashodhara Raje Scindia,Gwalior ,Madhya Pradesh,Bharatiya Janata Party,1,0,23,0.71,
Mohanbhai Delkar,D&N Haveli-ST,Dadra and Nagar Haveli,Bharatiya Navshakti Party,1,0,6,0.74,
Archana Nayak,Kendrapara,Orissa,Biju Janata Dal,58,4,89,0.79,
Arjun Charan Sethi,Bhadrak,Orissa,Biju Janata Dal,30,0,178,0.73,
Bhartruhari Mahtab,Cuttack,Orissa,Biju Janata Dal,227,0,409,0.84,
Brahmananda Panda,Jagatsinghpur,Orissa,Biju Janata Dal,47,0,14,0.82,
Braja Kishore Tripathy,Puri,Orissa,Biju Janata Dal,134,0,1048,0.92,
Hari Har Swain^,Aska,Orissa,Biju Janata Dal,0,0,5,0.28,
Mohan Jena,Jajpur,Orissa,Biju Janata Dal,14,0,38,0.70,
Prasanna Acharya,Sambalpur,Orissa,Biju Janata Dal,50,0,4,0.71,
Prasanna Kumar Patasani,Bhubaneswar,Orissa,Biju Janata Dal,29,0,24,0.77,
Sugrib Singh,Phulbani,Orissa,Biju Janata Dal,32,0,1083,0.73,
Tathagata Satpathy,Dhenkanal,Orissa,Biju Janata Dal,46,0,308,0.66,
Ajay Chakraborty,Basirhat,West Bengal,Communist Party of India,51,0,358,0.88,
Bhubneshwar Prasad Mehta,Hazaribagh,Jharkhand,Communist Party of India,42,0,308,0.66,
C.K. Chandrappan,Trichur,Kerala,Communist Party of India,113,32,415,0.90,
Chengara Surendran,Adoor,Kerala,Communist Party of India,32,2,273,0.75,
Gurudas Das Gupta,Panskura,West Bengal,Communist Party of India,121,1,271,0.85,
K. Subbarayan,Coimbatore,Tamil Nadu,Communist Party of India,17,0,173,0.72,
M. Appadurai,Tenkasi,Tamil Nadu,Communist Party of India,45,0,311,0.91,
Pannian Ravindran,Thiruvananthapuram,Kerala,Communist Party of India,12,0,125,0.67,
Prabodh Panda,Midnapore,West Bengal,Communist Party of India,112,1,435,0.89,
Suravaram Sudhakar Reddy,Nalgonda,Andhra Pradesh,Communist Party of India,83,5,220,0.84,
A.P. Abdullakutty,Cannanore,Kerala,Communist Party of India (Marxist),20,6,44,0.81,
A.V. Bellarmin,Nagercoil,Tamil Nadu,Communist Party of India (Marxist),69,0,161,0.85,
Abu Ayes Mondal,Katwa ,West Bengal,Communist Party of India (Marxist),19,0,185,0.95,
Alakesh Das,Nabadwip,West Bengal,Communist Party of India (Marxist),13,0,3,0.53,
Amitava Nandy,Dum Dum,West Bengal,Communist Party of India (Marxist),15,0,108,0.62,
Anil Basu,Arambagh,West Bengal,Communist Party of India (Marxist),13,0,24,0.65,
Babu Rao Mediyam,Bhadrachalam,Andhra Pradesh,Communist Party of India (Marxist),52,0,99,0.90,
Baju Ban Riyan,Tripura East,Tripura,Communist Party of India (Marxist),5,0,2,0.88,
Bansagopal Chowdhury,Asansol,West Bengal,Communist Party of India (Marxist),11,0,20,0.60,
Basudeb Acharia,Bankura,West Bengal,Communist Party of India (Marxist),183,11,467,0.85,
Basudeb Barman,Mathurapur,West Bengal,Communist Party of India (Marxist),22,0,0,0.94,
C.S. Sujatha,Mavelikara,Kerala,Communist Party of India (Marxist),80,0,140,0.84,
Hannan Mollah,Uluberia,West Bengal,Communist Party of India (Marxist),66,2,170,0.87,
Joytirmoyee Sikdar,Krishnagar,West Bengal,Communist Party of India (Marxist),14,0,54,0.87,
K.S. Manoj,Alleppey,Kerala,Communist Party of India (Marxist),168,4,312,0.88,
Khagen Das,Tripura West,Tripura,Communist Party of India (Marxist),36,1,10,0.61,
Lakshman Chandra Seth,Tamluk,West Bengal,Communist Party of India (Marxist),34,0,55,0.52,
Lonappan Nambadan,Mukundapuram,Kerala,Communist Party of India (Marxist),49,0,52,0.90,
Minati Sen,Jalpaiguri,West Bengal,Communist Party of India (Marxist),54,0,126,0.71,
Mohammad Salim,Calcutta North East,West Bengal,Communist Party of India (Marxist),59,0,1,0.87,
Mohan Ponnuswamy,Madurai,Tamil Nadu,Communist Party of India (Marxist),82,0,187,0.71,
N.N. Krishnadas,Palghat,Kerala,Communist Party of India (Marxist),47,0,268,0.75,
Nikhilananda Sar,Burdwan,West Bengal,Communist Party of India (Marxist),5,0,0,0.88,
P. Karunakaran,Kasaragod,Kerala,Communist Party of India (Marxist),121,1,281,0.81,
P. Rajendran,Quilon,Kerala,Communist Party of India (Marxist),34,0,201,0.75,
P. Satheedevi,Badagara,Kerala,Communist Party of India (Marxist),66,0,148,0.81,
Prasanta Pradhan,Contai,West Bengal,Communist Party of India (Marxist),10,0,32,0.73,
Ram Chandra Dome,Birbhum,West Bengal,Communist Party of India (Marxist),23,0,28,0.68,
Rupchand Murmu,Jhargram,West Bengal,Communist Party of India (Marxist),8,0,236,0.87,
Rupchand Pal,Hooghly,West Bengal,Communist Party of India (Marxist),95,0,15,0.88,
S. Ajaya Kumar,Ottapalam,Kerala,Communist Party of India (Marxist),14,0,201,0.70,
Samik Lahiri,Diamond Harbour,West Bengal,Communist Party of India (Marxist),9,0,29,0.59,
Santasri Chatterjee,Serampore,West Bengal,Communist Party of India (Marxist),53,0,51,0.90,
Somnath Chatterjee,Bolpur,West bengal,Communist Party of India (Marxist),*,*,*,*,
Sudhangshu Seal,Calcutta North West,West Bengal,Communist Party of India (Marxist),15,0,2,0.90,
Sujan Chakraborty,Jadhavpur,West Bengal,Communist Party of India (Marxist),31,0,16,0.72,
Sunil Khan,Durgapur,West Bengal,Communist Party of India (Marxist),82,1,286,0.86,
Suresh Kurup,Kottayam,Kerala,Communist Party of India (Marxist),38,3,174,0.83,
Susmita Bauri,Vishnupur,West Bengal,Communist Party of India (Marxist),12,0,21,0.79,
Swadesh Chakrabortty,Howrah,West Bengal,Communist Party of India (Marxist),16,0,115,0.80,
T.K. Hamza,Manjeri,Kerala,Communist Party of India (Marxist),33,0,48,0.79,
Tarit Baran Topdar,Barrackpore,West Bengal,Communist Party of India (Marxist),9,0,16,0.66,
Varkala Radhakrishnan,Chirayinkil,Kerala,Communist Party of India (Marxist),188,0,164,0.90,
A. Krishnaswamy,Sriperumbudur,Tamil Nadu,Dravida Munnetra Kazhagam,64,1,9,0.84,
A.K.S. Vijayan,Nagapattinam,Tamil Nadu,Dravida Munnetra Kazhagam,24,0,0,0.53,
Andimuthu Raja,Perambalur,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
C. Kuppusami,Chennai North,Tamil Nadu,Dravida Munnetra Kazhagam,31,0,50,0.81,
Danapal Venugopal,Tiruppattur,Tamil Nadu,Dravida Munnetra Kazhagam,29,0,0,0.62,
Dayanidhi Maran,Chennai Central,Tamil Nadu,Dravida Munnetra Kazhagam,1,0,0,0.10,
E.G. Sugavanam,Krisnagiri,Tamil Nadu,Dravida Munnetra Kazhagam,28,0,520,0.71,
K.C . Pallani Shamy,Karur,Tamil Nadu,Dravida Munnetra Kazhagam,13,0,614,0.64,
K.M. Kader Mohideen,Vellore,Tamil Nadu,Dravida Munnetra Kazhagam,25,0,5,0.64,
Kannusamy Venkatapathy,Cuddalore,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
M.S. K. Bhavani Rajenthiran,Ramanthapuram,Tamil Nadu,Dravida Munnetra Kazhagam,30,0,2,0.77,
S.S. Palanimanickam,Thanjavur,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
Sevugan Regupathy,Pudukkottai,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
Subbulakshmi Jagadeesan,Tiruchengode,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
Thalikkottai Rajuthevar Baalu,Chennai South,Tamil Nadu,Dravida Munnetra Kazhagam,*,*,*,*,
V. Radhika Selvi,Tiruchendur,Tamil Nadu,Dravida Munnetra Kazhagam,21,0,4,0.68,
Babu Lal Marandi,Kodarma,Jharkhand,Independent,0,0,13,0.29,
Harish Nagpal,Amroha,Uttar Pradesh,Independent,1,0,7,0.24,
Mani Charenamei,Outer Manipur,Manipur,Independent,27,1,58,0.90,
Sansuma Khunggur Bwiswmuthiary,Kokrajhar,Assam,Independent,39,0,35,0.52,
Sebastian Paul,Ernakulam,Kerala,Independent,34,0,4,0.87,
Thupstan Chhewang,Ladakh - J & K,Jammu and Kashmir,Independent,16,0,24,0.79,
A. Venkatesh Naik,Raichur,Karnataka,Indian National Congress,4,0,36,0.72,
A.F. Golam Osmani,Barpeta,Assam,Indian National Congress,0,0,28,0.57,
Abdul Mannan Hossain,Murshidabad,West Bengal,Indian National Congress,0,0,7,0.73,
Abdul Rehman Antulay,Kulaba,Maharashtra,Indian National Congress,1,0,7,0.95,
Abu Hasem Khan Choudhury,Malda ,West Bengal,Indian National Congress,3,0,0,0.73,
Adhir Ranjan Chowdhury,Berhampore,West Bengal,Indian National Congress,109,0,817,0.61,
Ajay Maken,New Delhi,Delhi,Indian National Congress,12,0,17,0.62,
Ajit Jogi^,Mahasamund,Chhattisgarh,Indian National Congress,2,0,368,0.62,
Allola Indrakaran Reddy,Adilabad,Andhra Pradesh,Indian National Congress,0,0,0,0.61,
Anantha Venkatarami Reddy,Anantapur,Andhra Pradesh,Indian National Congress,5,0,0,0.73,
Anwar Hussain,Dhubri,Assam,Indian National Congress,41,0,139,0.82,
Arun Yadav,Khargone,Madhya Pradesh,Indian National Congress,1,0,0,0.53,
Aruna Kumar Vundavalli,Rajahmundry,Andhra Pradesh,Indian National Congress,13,0,0,0.91,
Arvind Kumar Sharma,Karnal,Haryana,Indian National Congress,12,0,10,0.81,
Atma Singh Gill,Sirsa,Haryana,Indian National Congress,7,0,7,0.80,
Avtar Singh Bhadana,Faridabad,Haryana,Indian National Congress,14,1,222,0.63,
Bagun Sumbrui,Singhbhum,Jharkhand,Indian National Congress,4,0,9,0.80,
Balasaheb Vikhe Patil,Kopargaon,Maharashtra,Indian National Congress,18,4,377,0.82,
Balashowry Vallabbhaneni,Tenali,Andhra Pradesh,Indian National Congress,1,0,594,0.78,
Bapu Hari Chaure,Dhule,Maharashtra,Indian National Congress,11,0,337,0.87,
Bharatsinh Madhavsinh Solanki,Anand,Gujarat,Indian National Congress,2,0,21,0.53,
Bijendra Singh,Aligarh,Uttar Pradesh,Indian National Congress,36,0,12,0.83,
Bijoy Krishna Handique,Jorhat,Assam,Indian National Congress,*,*,*,*,
Biren Singh Engti,Autonomous District,Assam,Indian National Congress,0,0,0,0.93,
Chander Kumar,Kangra,Himachal Pradesh,Indian National Congress,36,0,71,0.91,
Chandra Sekhar Sahu,Berhampur,Orissa,Indian National Congress,25,0,18,0.94,
Chandra Shekhar Dubey,Dhanbad,Jharkhand,Indian National Congress,53,0,101,0.83,
Chaudhary Lal Singh,Udhampur,Jammu and Kashmir,Indian National Congress,112,1,40,0.75,
Chegondi Venkata Hariram Jogaiah^,Narasapur,Andhra Pradesh,Indian National Congress,1,0,1,0.67,
Chinta Mohan,Tirupathi,Andhra Pradesh,Indian National Congress,24,0,411,0.79,
Daggubati Purandeswari,Bapatla,Andhra Pradesh,Indian National Congress,28,4,194,0.81,
Dahya Bhai V. Patel,Daman & Diu,Daman and Diu,Indian National Congress,17,1,56,0.49,
Damodar Barku Shingada,Dahanu,Maharashtra,Indian National Congress,0,0,1,0.77,
Dawa Narbula,Darjeeling,West Bengal,Indian National Congress,29,0,19,0.86,
Deepender Singh Hooda,Rohtak,Haryana,Indian National Congress,6,0,12,0.79,
Devarakonda Vittal Rao,Mahabubnagar,Andhra Pradesh,Indian National Congress,7,0,148,0.87,
Devwrat Singh,Rajnandgaon ,Chhattisgarh,Indian National Congress,14,0,1,0.64,
Dhani Ram Shandil,Shimla,Himachal Pradesh,Indian National Congress,32,0,122,0.94,
Dhanuskodi Athithan,Tirunelveli,Tamil Nadu,Indian National Congress,14,0,121,0.66,
Dinsha J. Patel,Kaira,Gujarat,Indian National Congress,4,0,47,0.76,
Dip Gogoi,Kaliabor,Assam,Indian National Congress,2,0,0,0.71,
E.V.K.S. Elangovan,Gobichettipalayam,Tamil Nadu,Indian National Congress,*,*,*,*,
Eknath Mahadeo Gaikwad,Mumbai North Central,Maharashtra,Indian National Congress,1,0,735,0.93,
Francis Fanthome,Nominated,Delhi,Indian National Congress,40,0,111,0.84,
Francisco Sardinha,Mormugao,Goa,Indian National Congress,8,0,14,0.95,
Furkan Ansari,Godda,Jharkhand,Indian National Congress,13,0,31,0.81,
G. Nizamuddin,Hindupur,Andhra Pradesh,Indian National Congress,1,0,63,0.77,
G. Venkatswamy,Peddapalli,Andhra Pradesh,Indian National Congress,2,0,7,0.66,
