MP name,Nature of membership,Start of term,End of term,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Ahmed Patel,Elected,19-Aug-11,In office,Gujarat,Indian National Congress,Male,Graduate,"B.Sc. Educated at Shree Jayendra Puri Arts and Science College, Bharuch (South Gujarat University) and M.S. University, Baroda ",63,0,0,0,0.72," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Ajay Sancheti,Elected,03-Apr-12,In office,Maharashtra,Bharatiya Janata Party,Male,Information not available,,Information not available,2,0,0,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.8,0.2,53,77%
Ajay Singh Chautala,Elected,08-Feb-04,02-11-2009,Haryana,Indian National Lok Dal,Male,Post Graduate,"B.A., M.A., LL.B. Educated at Government College, Hissar and Rajasthan University, Jaipur (Rajasthan)",51,0,0,9,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,5.4,0,11,87%
Akhilesh Das Gupta,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Doctorate,"M.B.A., LL.B., D.P.A. (Diploma in Public Administration), Ph.D. on 'Human Resources Management in Public Sector Undertakings' Educated at Colvin Taluqdars' College, Allahabad University, Lucknow University and Agra University ",51,7,12,12,0.56," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Ali Anwar Ansari,Elected,03-Apr-12,In office,Bihar,Janata Dal (United),Male,Graduate,"Graduate, Educated at D.K.College, Dumraon and M.V.College, Buxar (Bihar) ",58,38,0,51,0.74," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
Alka Balram Kshatriya,Elected,10-Apr-08,In office,Gujarat,Indian National Congress,Female,Post Graduate,"B.Com., LL.B., M.Com., LL.M. (Commercial Law), Diploma in Labour Laws and Practice (D.L.P.), Diploma in Taxation Practice (D.T.P.) Educated at Gujarat University, Ahmedabad and North Gujarat University, Mahesana ",52,11,0,159,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Alok Tiwari,Elected,19-Jun-12,In office,Uttar Pradesh,Samajwadi Party,Male,Information not available,,Information not available,0,0,0,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1.2,0,16,77%,1,0,11,76%
Amar Singh,Elected,26-Nov-08,In office,Uttar Pradesh,Independent,Male,Graduate,"B.A., LL.B. Educated at St. Xavier's College and University College of Law, Kolkata ",56,14,0,113,0.32," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Ambeth Rajan,Elected,26-Sep-07,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"B.Sc. II Educated at AVC College, Mayiladuthurai, Tamil Nadu ",56,29,0,216,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Amir Alam Khan,Elected,13-Jun-06,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Islamia Inter College, Muzaffarnagar (Uttar Pradesh) ",53,3,0,186,0.44," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Ananda Bhaskar Rapolu,Elected,03-Apr-12,In office,Andhra Pradesh,Indian National Congress,Male,Information not available,,Information not available,15,0,0,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
Anbumani Ramadoss,Elected,30-Jun-04,29-06-2010,Tamil Nadu,Pattali Makkal Katchi,Male,Graduate,"M.B.B.S. Educated at Madras Medical College, Chennai (Tamil Nadu) ",43,2,0,0,0.15," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,17.2,0.2,81,70%
Anil H. Lad,Elected,26-Jun-08,In office,Karnataka,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Sandur Residential School, Sandur, Distt. Bellary, Karnataka ",38,4,0,21,0.61," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,16.8,1.9,109,69%
Anil Kumar Sahani,Elected,03-Apr-12,In office,Bihar,Janata Dal (United),Male,Post Graduate,"LL.B., M.A.; Educated at Baba Saheb Bhimrao Ambedkar Bihar University, Muzaffarpur (Bihar)",49,15,0,307,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",21.9,0.6,165,77%,27.6,0.1,205,76%
Anil Madhav Dave,Elected,04-Aug-09,In office,Madhya Pradesh,Bharatiya Janata Party,Male,Post Graduate,"M.Com. Educated at Gujarati College, Indore, Madhya Pradesh ",56,38,0,315,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",25.1,0.7,192,77%,26.2,0.8,215,83%
Anil Yeshwant Desai,Elected,03-Apr-12,In office,Maharashtra,Shiv Sena,Male,Information not available,,Information not available,7,0,46,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,6.8,0.2,53,77%
Anu Aga,Nominated,27-Apr-12,In office,,Independent,Female,Post Graduate,"B.A.(Eco) from St Xavier's College, Mumbai, and post graduation in medical and psychiatric social work from the TISS, Mumbai. Also had been a Fulbright Scholar and studied in the United States for four months.",70,0,0,0,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5,0.2,31,77%,2.4,0.2,7,68%
Anusuiya Uikey,Elected,03-Apr-06,02-04-2012,Madhya Pradesh,Bharatiya Janata Party,Female,Post Graduate,"M.A. (Economics), LL.B. (II year)",55,48,0,249,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,21.6,0.5,186,83%
Arjun Kumar Sengupta,Elected,19-Aug-05,26-09-2010,West Bengal,Independent,Male,Doctorate,"B.A., M.A., Ph.D. (Economics) Educated at Mitra Institution, Bhavanipur, Kolkata, Presidency College, University of Calcutta, Kolkata and Massachusetts Institute of Technology (MIT), USA ",75,7,0,0,0.61," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",13.6,0.4,97,77%,22.7,0.3,70,77%
Arjun Singh,Elected,03-Apr-06,04-03-2011,Madhya Pradesh,Indian National Congress,Male,Graduate,"B.A., LL.B. Educated at Allahabad University and Agra University ",81,1,0,0,0.22," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",14.8,0.5,123,77%,10.2,0.3,116,83%
Arun Shourie,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,Bharatiya Janata Party,Male,Doctorate,"Ph.D. (Economics), Educated at Modern School, New Delhi, St.Stephen's College, Delhi and University of Syracuse, U.S.A",70,3,0,0,0.61," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Arvind Kumar,Elected,20-Apr-12,In office,Uttar Pradesh,Samajwadi Party,Male,Information not available,,42,3,0,64,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.1,17,76%
Ashk Ali Tak,Elected,05-Jul-10,In office,Rajasthan,Indian National Congress,Male,Post Graduate,"M.A., Diploma in Indian Thought ; Educated at University of Rajasthan, Jaipur",54,5,0,181,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,16,0,170,81%
Ashok S. Ganguly,Nominated,18-Nov-09,In office,,Independent,Male,Doctorate,"B.Sc., M.S., Ph.D. ; Educated at Master Tutorial High School, Mumbai, Jaihind College, Mumbai and University of Illinois, U.S.A.",77,34,0,4,0.66," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",24.5,0.7,189,77%,12.3,0.2,77,68%
Ashwani Kumar,Elected,10-Apr-10,In office,Punjab,Indian National Congress,Male,Post Graduate,"B.A.(Hons.), LL.B., M.Phil. Educated at St. Stephen's College, Delhi; Faculty of Law, University of Delhi and Jawaharlal Nehru University, New Delhi ",59,8,0,0,0.93,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",13.6,0.4,117,77%,11.6,0,150,78%
Avinash Pande,Elected,05-Jul-10,In office,Maharashtra,Indian National Congress,Male,Professional Post Graduate,"B.Com, M.A. (Economics), M.A. (Public Administration) D.B.M., LL.B. ; Educated at Nagpur University, Nagpur",54,3,0,72,0.80," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,21.5,0.6,218,77%
Avinash Rai Khanna,Elected,10-Apr-10,In office,Punjab,Bharatiya Janata Party,Male,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",51,69,0,235,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,28.7,0.2,173,78%
Avtar Singh Karimpuri,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Graduate,"Intermediate, B.A. (Public Administration) (Part-II) Educated at Govt. High School, Kotranjha, (Punjab) and Annamalai University ",48,70,4,97,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
B. Jayashree,Nominated,22-Mar-10,In office,,Independent,Female,Graduate,"Graduate ; Educated at National School of Drama, New Delhi",62,4,0,0,0.63," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,11.5,0.2,64,68%
B. S. Gnanadesikan,Elected,25-Jul-07,In office,Tamil Nadu,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Dr. Ambedkar Law College, Chennai",63,20,0,174,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.5,243,70%
B.K. Hariprasad,Elected,01-Jul-04,30-06-2010,Karnataka,Indian National Congress,Male,Graduate,"B. Com. Educated at M.E.S.College, Bangalore University, Bangalore ",58,4,0,143,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,5.8,1,36,69%
Baishnab Parida,Elected,02-Jul-10,In office,Orissa,Biju Janata Dal,Male,Post Graduate,"M.A., M.Phil ; Educated at University of Calcutta and Institute of Oriental Studies, Moscow",71,31,0,166,0.96," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,28.3,0.3,123,82%
Balavant alias Bal Apte,Elected,03-Apr-06,02-04-2012,Maharashtra,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.M. Educated at University of Mumbai, Mumbai ",73,11,0,302,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",23.7,0.6,181,77%,27.9,0.8,294,77%
Balbir Punj,Elected,03-Apr-08,In office,Orissa,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) Economics Educated at Rajdhani College, Delhi University, Delhi ",62,32,0,70,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,40.5,0.3,197,82%
Balihari Babu,Elected,03-Apr-06,12-06-2009,Uttar Pradesh,Samajwadi Party,Male,Inter/ Higher Secondary,"Intermediate Educated at Public Inter College, Shahganj, Jaunpur (Uttar Pradesh)",61,0,0,0,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",0.4,0,0,77%,0.3,0,0,76%
Balwinder Singh Bhunder,Elected,05-Jul-10,In office,Punjab,Shiromani Akali Dal,Male,Graduate,"B.A. Educated at Government Rajindra College, Bhatinda",67,16,0,259,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,137,77%,26.9,0.2,157,78%
Barun Mukherji,Elected,18-Nov-08,In office,West Bengal,All India Forward Bloc,Male,Doctorate,"B.Sc., B.A., M.A., B. Lib. Sc., Ph.D. and P.G.D.B.M. Educated at Bansberia H. E. School, Bansberia, Distt. Hooghly (West Bengal), Hooghly Mohsin College, Chinsurah, Calcutta University and Institute of Modern Management, Calcutta ",79,39,0,15,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,44.3,0.4,138,77%
Basawaraj Patil,Elected,03-Apr-12,In office,Karnataka,Bharatiya Janata Party,Male,Information not available,,Information not available,9,0,10,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.3,0.4,25,69%
Bashistha Narain Singh,Elected,03-Apr-12,In office,Bihar,Janata Dal (United),Male,Information not available,,64,2,0,7,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,7.3,0,52,76%
Bhagat Singh Koshyari,Elected,26-Nov-08,In office,Uttarakhand,Bharatiya Janata Party,Male,Post Graduate,"M.A. (English) Educated at Almora College, Almora (Agra University) ",70,13,1,408,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,55.5,2.7,574,92%
Bhagirathi Majhi,Elected,24-Mar-06,01-07-2010,Orissa,Bharatiya Janata Party,Male,Graduate,"B.A. Educated at Sulaipat High School, Sulaipat and Keonjhar College, Utkal University (Orissa) ",58,2,0,55,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,12.2,0,74,82%
Bhagwati Singh,Elected,05-Jul-04,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B.A. Educated at Arjunpur, Sidholi, Sitapur and Lucknow University (Uttar Pradesh) ",79,3,0,43,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Bhalchandra Mungekar,Nominated,22-Mar-10,In office,,Independent,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",66,22,0,93,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,11.5,0.2,64,68%
Bharatkumar Raut,Elected,03-Apr-08,In office,Maharashtra,Shiv Sena,Male,Post Graduate,"M.A. (Politics) Educated at University of Bombay, Mumbai ",59,92,0,153,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,34.7,1,347,77%
Bharatsinh Prabhatsinh Parmar,Elected,10-Apr-08,In office,Gujarat,Bharatiya Janata Party,Male,Graduate,"B. Com., LL.B. Educated at South Gujarat University, Bharuch (Gujarat)",54,10,0,326,0.69," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,20.3,0.2,189,79%
Bhubaneswar Kalita,Elected,10-Apr-08,In office,Assam,Indian National Congress,Male,Post Graduate,"M.A., LL.B. Educated at Rangia HS School, Rangia, Cotton College, Guwahati University and University Law College, Guwahati ",61,9,0,54,0.80," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.2,202,84%
Bhupender Yadav,Elected,04-Apr-12,In office,Rajasthan,Bharatiya Janata Party,Male,Professional Graduate,LLB,Information not available,7,0,47,1.00," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,4.1,0,43,81%
Bhushanlal Jangde,Elected,03-Apr-12,In office,Chhattisgarh,Bharatiya Janata Party,Male,Information not available,,Information not available,0,0,9,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,1.2,0,47,86%
Bimal Jalan,Nominated,27-Aug-03,26-08-2009,,Independent,Male,Doctorate,"B.A.(Hons.), B.A.(Tripos), M.A., M. Phil.,Ph. D. Educated at Presidency College, Kolkata, University of Cambridge, U.K., University of Oxford, U.K. and University of Bombay, Mumbai",71,3,0,0,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.3,0.1,21,68%
Bimla Kashyap Sood,Elected,03-Apr-10,In office,Himachal Pradesh,Bharatiya Janata Party,Female,Graduate,"B.A. ; Educated at Punjab University, Shimla",70,21,0,145,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",20.5,0.6,153,77%,20.1,0,165,88%
Birender Singh,Elected,02-Aug-10,In office,Haryana,Indian National Congress,Male,Professional Graduate,"B.A., LL.B. ; Educated at Government College, Rohtak, Haryana and Department of Law, Chandigarh",66,2,0,20,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.8,0.5,133,77%,9.6,1.5,95,87%
Birendra Prasad Baishya,Elected,10-Apr-08,In office,Assam,Asom Gana Parishad,Male,Post Graduate,"B.A. (Hons.), M.A. (Economics) Educated at Gauhati University, Guwahati ",56,54,0,366,0.90," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.2,202,84%
Biswajit Daimary,Elected,10-Apr-08,In office,Assam,Bodoland People's Front,Male,Inter/ Higher Secondary,"Higher Secondary Educated at Kokrajhar College, Kokrajhar ",41,22,0,9,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,38.6,0.2,202,84%
Brij Bhushan Tiwari,Elected,06-Dec-06,04-07-2010,Uttar Pradesh,Samajwadi Party,Male,Post Graduate,"B.A., M.A. (Pol. Sc.), LL.B. Educated at Shivpati Inter College, Shohratgarh, St. Andrew's College, Gorakhpur and Allahabad University, Allahabad ",70,31,0,84,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",10,0.3,77,77%,8,0.4,56,76%
Brijesh Pathak,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"B.Com., LL.B., M.A. (I) Composite History Educated at Lucknow University ",48,19,0,0,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Brijlal Khabri,Elected,26-Nov-08,In office,Uttar Pradesh,Bahujan Samaj Party,Male,Post Graduate,"M.A., LL.B. Educated at Dayanand Vedic Mahavidyalaya, Orai, Distt. Jalaun and Bundelkhand University, Jhansi, Uttar Pradesh ",51,12,0,130,0.64," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,22.8,1.3,134,76%
Brinda Karat,Elected,19-Aug-05,18-08-2011,West Bengal,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi ",64,69,3,173,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",18.5,0.6,141,77%,29.6,0.4,103,77%
C Rangarajan,Nominated,09-Aug-08,10-08-2009,,Independent,Male,Doctorate,"B.Com. (Hons.), Ph.D. Educated at Madras University, Chennai and University of Pennsylvania, Philadelphia",80,1,0,0,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",4.3,0.1,25,77%,2.3,0.1,21,68%
C.M. Ramesh,Elected,03-Apr-12,In office,Andhra Pradesh,Telugu Desam Party,Male,Information not available,,Information not available,1,0,37,0.55," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",5.1,0.2,33,77%,3.8,0,43,78%
C.P. Narayanan,Elected,02-Jul-12,In office,Kerala,Communist Party of India (Marxist),Male,Information not available,,57,1,0,13,0.94," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",1.2,0,16,77%,2.6,0,20,70%
C.P. Thakur,Elected,10-Apr-08,In office,Bihar,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.D., M.R.C.P., F.R.C.P. Educated at Patna Medical College, Patna University, Bihar, Royal College of Physicians, London and Royal College of Physicians, Edinburgh and Royal College of Tropical Medicine and Hygiene, London ",81,18,0,9,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 5 Sep 2012)",28.8,0.8,215,77%,35.6,0.1,258,76%
